InterviewID,Phase,Clinician_Workflow_Constraints,Funding_Economic_Constraints,Data_Collection_Challenges,Pharma_Build_vs_Buy,Regulatory_Privacy_Hurdles,Clinician_Workflow_Constraints,Funding_Economic_Constraints,Data_Collection_Challenges,Pharma_Build_vs_Buy,Need_for_Focus_Scope,Regulatory_Privacy_Hurdles,Global_Health_Market_Diffs,Payer_ROI_Value_Emphasis
1,1,1,1,1,0,0,1,1,1,0,0,0,0,1
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,1,1,0,0,1,1,1,0,1,0,0,0
4,1,0,1,1,0,1,0,1,1,0,1,1,0,1
5,1,1,1,1,0,1,1,1,1,0,0,1,1,0
6,1,0,0,0,0,1,0,0,0,0,1,1,0,0
7,1,0,1,1,0,1,0,1,1,0,0,1,1,0
8,1,0,0,1,0,1,0,0,1,0,1,1,0,0
9,1,0,1,1,0,0,0,1,1,0,0,0,0,0
10,1,0,1,1,0,0,0,1,1,0,1,0,1,0
11,1,0,1,1,0,0,0,1,1,0,1,0,1,0
12,1,0,0,0,1,0,0,0,0,1,1,0,0,0
13,1,0,1,1,0,0,0,1,1,0,1,0,1,0
14,1,1,1,1,0,0,1,1,1,0,1,0,1,1
15,1,0,1,1,0,1,0,1,1,0,0,1,1,1
16,1,1,0,0,0,0,1,0,0,0,0,0,0,0
17,1,0,1,1,0,1,0,1,0,0,0,1,0,0
18,1,1,1,1,0,1,1,1,1,0,0,1,0,0
19,1,1,0,0,0,0,1,0,0,0,0,0,0,0
20,1,1,1,0,0,0,1,1,0,0,1,0,0,0
21,1,1,1,1,0,0,1,1,1,0,0,0,1,0
22,1,1,0,1,0,1,1,0,1,0,0,1,0,0
23,1,1,1,0,0,1,1,1,0,0,1,1,0,0
24,1,0,0,1,0,1,1,1,1,0,1,1,1,0
25,1,0,1,1,0,1,0,1,1,0,1,1,0,0
26,1,0,0,0,0,0,1,0,0,0,0,0,0,0
27,1,0,1,1,0,1,0,1,1,0,1,1,1,0
28,1,1,0,1,0,1,1,0,1,0,0,1,1,0
29,1,1,1,1,0,1,1,1,1,0,0,1,0,0
30,1,1,1,1,0,1,1,1,1,0,1,1,0,0
31,1,0,1,1,0,1,0,1,1,0,0,1,1,0
32,1,0,0,1,0,1,0,0,1,0,0,1,0,0
33,1,0,1,1,0,1,0,1,1,0,1,1,0,0
34,1,0,1,0,0,0,0,1,0,0,0,0,0,0
35,1,1,0,1,0,0,1,0,1,0,0,0,1,0
36,1,0,1,1,0,0,0,1,1,0,0,0,0,0
37,1,1,0,0,1,0,1,1,1,1,1,0,1,0
38,1,0,1,0,0,0,0,1,0,0,1,0,0,1
39,1,1,1,0,0,1,1,1,0,0,1,1,0,0
40,1,0,1,1,0,1,0,1,1,0,1,1,1,0
41,1,0,1,0,0,0,0,1,0,0,1,0,0,0
42,1,1,1,1,1,0,1,1,1,0,1,0,0,0
43,1,0,1,1,0,0,0,1,1,0,0,0,0,0
44,1,1,1,1,0,0,1,1,1,0,0,0,0,0
45,1,0,0,1,0,0,0,0,1,0,0,0,1,0
46,1,0,1,0,0,1,0,1,0,0,0,1,0,0
47,1,1,1,1,0,1,1,1,1,0,0,1,0,1
48,1,1,1,1,0,1,1,1,1,0,0,1,1,0
49,1,1,0,1,0,1,1,0,1,1,0,1,0,0
50,1,1,1,1,1,1,1,1,1,1,1,1,0,0
51,2,0,1,0,0,1,0,1,0,0,0,1,0,0
52,2,0,0,1,1,1,0,0,1,1,1,1,0,0
53,2,0,1,1,0,1,0,1,1,0,1,1,0,0
54,2,0,1,1,0,1,0,1,1,0,0,1,1,0
55,2,0,1,1,0,0,0,1,1,0,1,0,1,0
56,2,1,1,1,0,1,1,1,1,0,0,1,0,0
57,2,1,1,0,0,0,1,1,0,0,0,0,0,1
58,2,0,1,0,1,1,0,1,0,1,0,1,1,0
59,2,1,1,0,0,1,1,1,0,0,0,1,0,1
60,2,1,1,1,0,0,1,1,1,0,1,0,0,1
61,2,0,1,1,0,1,0,1,1,0,0,1,1,0
62,2,0,1,1,0,0,0,1,1,0,1,0,0,1
63,2,0,1,1,0,1,0,1,1,1,1,1,0,0
64,2,1,1,0,0,1,1,1,0,0,0,1,0,0
65,2,1,1,1,0,1,1,1,1,0,1,1,0,0
66,2,1,1,1,0,1,1,1,1,0,0,1,1,0
67,2,1,1,1,0,1,1,1,1,0,0,1,0,1
68,2,1,0,1,0,0,1,0,1,0,0,0,1,0
69,2,1,1,1,1,1,1,1,1,1,0,1,0,0
70,2,1,1,1,0,1,1,1,1,0,1,1,0,0
71,2,0,1,0,0,0,1,1,1,0,1,1,1,0
72,2,0,1,1,1,0,0,1,1,1,1,0,0,0
73,2,0,1,1,0,1,0,1,1,0,1,1,1,0
74,2,1,1,1,0,0,1,1,1,0,0,0,0,0
75,2,1,1,1,0,0,1,1,1,0,1,0,0,1
76,2,0,1,1,0,1,0,1,0,0,1,1,1,0
77,2,0,1,1,0,1,1,1,1,0,0,1,0,0
78,2,1,1,1,0,1,1,1,1,0,0,1,0,0
79,2,1,1,1,1,1,1,1,1,1,1,1,0,1
80,2,1,1,1,1,1,1,1,1,1,0,1,1,0
81,2,1,1,1,0,1,1,1,1,0,0,1,1,0
82,2,0,0,1,0,1,0,0,1,0,0,1,0,0
83,2,1,1,1,0,1,1,1,1,0,0,1,1,0
84,2,0,1,0,0,0,0,1,0,1,1,0,1,0
85,2,1,1,0,0,1,1,1,0,0,0,1,0,1
86,2,0,1,0,0,0,0,1,0,1,1,0,1,1
87,2,1,1,1,0,0,1,1,1,0,0,0,1,1
88,2,1,1,1,0,0,1,1,1,0,1,0,1,0
89,2,1,1,1,0,1,1,1,1,0,0,1,0,0
90,2,0,1,1,0,1,0,1,1,0,1,1,1,0
91,2,0,1,1,0,1,0,1,1,1,1,1,1,0
92,2,0,1,1,0,0,0,1,1,0,0,0,0,0
93,2,1,1,1,0,1,1,1,1,0,0,1,1,0
94,2,0,1,1,0,0,0,1,1,0,1,0,0,0
95,2,1,1,1,0,0,1,1,1,0,0,0,0,0
96,2,0,1,1,0,1,0,1,1,0,0,1,1,0
97,2,0,0,1,0,0,0,0,1,0,0,0,1,0
98,2,0,1,1,0,1,0,1,1,0,1,1,1,0
99,2,1,1,1,0,1,1,1,1,0,0,1,1,0
100,2,0,1,1,0,0,0,1,1,0,0,0,1,0
101,3,1,0,0,0,0,1,0,0,0,0,0,0,0
102,3,1,0,1,0,1,1,0,1,0,0,1,1,0
103,3,1,1,1,0,1,1,1,1,0,1,1,0,1
104,3,1,1,1,0,1,1,1,1,0,1,1,1,0
105,3,0,1,0,1,0,0,1,0,1,0,0,0,0
106,3,0,1,1,1,1,0,1,1,0,0,1,0,0
107,3,0,0,1,0,1,0,0,1,0,0,1,1,0
108,3,0,1,0,0,0,0,1,0,0,0,0,0,1
109,3,0,1,0,1,1,0,1,0,1,1,1,0,0
110,3,1,1,1,1,0,1,1,1,1,1,0,0,0
111,3,1,1,1,0,0,1,1,1,0,0,0,0,1
112,3,0,1,1,0,1,0,1,1,0,0,1,0,0
113,3,1,1,1,0,0,1,1,1,0,0,0,1,0
114,3,1,1,1,0,0,1,1,1,0,1,0,1,0
115,3,1,1,1,0,0,1,1,1,0,0,0,0,0
116,3,1,0,1,0,0,1,0,1,0,1,0,0,0
117,3,0,0,1,0,0,0,0,1,0,0,0,0,0
118,3,1,1,0,0,1,1,1,1,0,0,1,0,0
119,3,1,1,0,0,0,1,1,0,0,0,0,0,1
120,3,1,1,1,0,1,1,1,1,0,1,1,0,0
121,3,0,1,1,0,0,1,1,1,0,0,1,0,0
122,3,1,1,1,0,1,1,1,0,0,0,1,0,0
123,3,1,1,1,0,0,1,1,1,0,1,0,1,0
124,3,1,1,0,0,1,1,1,0,0,0,1,1,1
125,3,1,1,1,0,0,1,1,1,0,0,0,0,0
126,3,0,1,1,0,1,0,1,1,0,1,1,0,0
127,3,0,1,1,0,0,0,1,1,0,0,0,1,0
128,3,1,1,1,0,1,1,1,1,0,0,1,0,0
129,3,1,0,0,0,1,1,0,0,0,1,1,0,1
130,3,0,1,1,0,0,0,1,1,0,0,0,0,0
131,3,1,1,1,0,1,1,1,1,0,0,1,0,0
132,3,1,1,1,0,1,1,1,1,0,0,1,0,0
133,3,1,1,1,0,1,1,1,1,0,0,1,1,0
134,3,0,1,1,1,1,0,1,1,1,1,1,0,0
135,3,1,1,1,0,1,1,1,1,0,0,1,0,1
136,3,0,1,0,0,0,0,1,0,0,1,0,0,0
137,3,1,0,1,0,1,1,0,1,0,0,1,0,0
138,3,0,1,1,0,1,0,1,1,0,0,1,0,0
139,3,1,1,1,0,1,1,1,1,0,0,1,1,0
140,3,1,1,1,0,1,1,1,1,0,0,1,1,1
141,3,1,0,1,0,1,1,0,1,0,1,1,0,0
142,3,0,1,0,0,1,0,1,0,0,0,1,1,1
143,3,1,1,1,0,0,1,1,1,0,1,0,0,0
144,3,0,1,1,0,1,0,1,1,0,1,1,0,0
145,3,0,1,1,1,0,0,1,1,1,1,0,0,0
146,3,0,1,1,0,1,0,1,1,0,0,1,1,0
147,3,1,1,1,0,0,1,1,1,0,0,0,1,0
148,3,1,1,1,0,1,1,1,1,0,0,1,1,0
